user,has_ht,followers,friends
817314092486709250,1,1,0
2829254721,0,338,631
3363329049,0,67,30
43988722,0,231,1029
524419690,0,472,700
85386876,1,3099,599
2789210158,0,413,356
584957155,0,44,108
775330154755203073,1,19,80
68261717,1,2540,4044
3793875733,0,6457,4187
179279481,0,245317,226
2640658425,1,322,423
328914261,0,8820,8026
3145544034,0,2534,2692
890953926,0,167,110
578262511,0,305,181
258931104,0,17264,2016
84966500,0,2610,846
1331414107,0,14,102
3987742515,0,2,85
474106183,0,1353,432
3154192760,0,951,323
4339234994,0,4206,3575
1444763467,0,1480,665
167516473,0,648,449
48332815,0,379,503
712872406403190788,1,7,52
2426482974,1,101,486
212233838,0,5850,3447
221187561,0,1199,640
493556014,0,86,313
363134666,0,2566,783
3000032279,0,1955,550
3741319034,0,2699,1766
700650311967375360,0,248,442
3254270821,0,11,79
1494318014,0,4448,4979
566159605,1,146,614
24597757,0,417,289
886677366,0,163,39
32538338,0,3489,4361
182946044,0,11208,6656
4837576136,0,406,390
48734746,0,467,90
2612811585,0,649,552
259543335,0,14,120
187634090,1,7645,6989
18840781,0,281,786
15830701,1,770754,10
2859157389,0,732,147
758823447573037056,0,360,819
437556714,1,9303,3148
755545283476332545,0,419,260
306016747,0,1104,274
839413504767627264,1,102,406
360265243,0,5139,175
3656382076,0,581,1048
22633906,0,631,1001
3403140257,1,751,328
845488340686139392,1,1292,1307
848313946868256768,1,11,71
715700807362949120,0,374,288
15907432,0,32723,1220
3270693914,0,255,323
2800761367,1,14413,18
4913255738,0,304,448
3308102429,0,213,298
396445294,1,16,125
354583984,0,256,212
438448930,0,99,221
825717214380695552,0,210,26
2873761090,0,1189,2578
810969224,0,7,32
3120774490,0,15,59
18156577,0,296,291
734936550333665280,1,67,290
1258523562,0,233,210
4880168895,1,993,684
3422813833,0,12169,11522
930885876,1,224,182
60043549,0,2157,893
770339047,0,1422,2268
722424726568640512,1,640,693
4051494614,0,1783,1275
133821069,1,190,341
848402342,0,412,266
147816149,0,4124,2843
800811627700305920,0,210,118
521732586,0,421,441
835559932950941696,0,7,38
4236535115,0,1013,314
1158464378,0,24,72
798673066935144448,0,34,103
42715915,0,296,878
2433393437,0,513,152
459012404,0,203,246
845622964397629440,0,30,89
2743268926,0,247,483
111422252,0,509,891
18146333,0,229,166
633569686,0,3006,2196
159470287,0,435,1132
826581456545800192,0,145,126
814991617,0,532,978
21721265,1,901,944
235534680,0,1226,487
253410163,0,112,230
3019061431,0,572,131
17915782,0,12632,513
840788724245917697,0,424,0
225010383,1,142872,68993
48268257,1,11287,2183
1969415142,0,302,114
338856929,1,4185,901
781393002451185664,1,202,62
19450963,0,1107,1193
1607276227,0,574,631
776883553,0,1246,1768
2316709313,1,49189,40878
1380417204,0,3310,2930
738109712017723392,1,1834,5001
2368238107,0,449,355
841784912353079299,0,12,44
553882485,0,411,503
2316340093,0,342,378
42626351,0,455,347
563266983,1,724,865
2990825770,1,36,54
2199687710,0,381,242
2300749939,0,31,95
3456348859,0,822,755
844595887,0,328,137
3068659615,0,219,605
608797995,0,2294,424
15919596,0,20996,1938
1166113609,1,11178,2649
226595423,0,6518,5588
51259550,0,3838,2168
87313579,0,1970,1425
850037675675578370,0,0,0
462797863,1,21,105
102443818,0,318,168
70051209,0,234,291
2149523275,0,301,403
603394486,0,680,405
1654190256,0,6616,7160
3831239654,0,652,599
2789385927,0,477,210
2491152544,0,2037,2035
101924772,0,762,488
401137599,0,938,669
922801956,1,4274,4981
20187443,0,25494,1651
785150191326359552,0,26,93
788930414685609984,0,461,197
775513933109075968,1,9,78
4827787666,0,213,182
2347795466,0,21,40
3199362539,0,446,229
436167909,0,424,330
3004184403,1,11701,6866
1278436074,0,72,144
809584543841841153,1,34,69
821305577150103552,0,106,195
970035756,1,531,515
2464022023,0,172,150
1898497490,0,313,211
834414335300608000,0,8,40
585637386,0,540,616
804925382411436032,0,22620,13064
188405911,0,3997,3583
758042685902946304,0,29,278
2336811283,0,586,730
414969461,0,129,66
320348090,0,1604,988
947278398,0,45,403
841302088504266752,0,150,126
5668662,0,1149,1237
1042702788,0,313,316
1726034509,0,3400,2155
2309245206,0,122,219
574647893,0,172549,136459
584932677,0,7709,12010
333010636,0,2191,482
705384724,0,1004,461
177325013,0,2141,2059
3250406624,0,310,604
720372066164166656,1,81,106
79158511,1,259,937
38052547,0,56371,9677
2453781038,0,23967,1
3225542414,0,2785,424
27076813,1,634,100
760084429704339457,0,9,89
3204104200,0,21033,12747
1913256007,0,13390,4913
30584721,0,786,518
106062176,0,274497,13135
2506166612,0,831,960
160554282,0,692,1499
43325643,0,4402,1389
3316779551,1,797,667
38002688,0,6411,222
92603118,0,3272,2756
2949092896,0,14,20
1237164858,0,218,271
242074588,0,10933,5471
3020560817,1,586,576
798634013690855425,1,1631,1708
2548743378,0,6588,7215
296769214,0,246,102
969790118,0,149,81
2805308636,1,73,227
1016833296,1,56,84
792620006,0,709,880
