time,trend,volume
2017-04-06 20:48:18,#LEmissionPolitique,92636
2017-04-06 20:48:18,Don Rickles,112258
2017-04-06 20:48:18,#Gala15GHVIP5,17868
2017-04-06 20:48:18,#Fast8EH,
2017-04-06 20:48:18,#VzlaTrancaContraElGolpe,152349
2017-04-06 20:48:18,Dustin Johnson,53490
2017-04-06 20:48:18,French Montana,93712
2017-04-06 20:48:18,Mari Palma,
2017-04-06 20:48:18,#twepsv,
2017-04-06 20:48:18,#NuclearOption,95342
2017-04-06 20:48:18,#PuebloYFANBLealtadAbsoluta,67205
2017-04-06 20:48:18,#gntm,
2017-04-06 20:48:18,#CelebrityMasterChefIt,
2017-04-06 20:48:18,#TPMPlesparis,
2017-04-06 20:48:18,#survirorgr,
2017-04-06 20:48:18,#13RW,84393
2017-04-06 20:48:18,#ottoemezzo,
2017-04-06 20:48:18,#NationalBurritoDay,34451
2017-04-06 20:48:18,#FirstDates303,
2017-04-06 20:48:18,#Piazzapulita,
2017-04-06 20:48:18,#itgetsworseSHOW,11466
2017-04-06 20:48:18,#kuntavaalit,
2017-04-06 20:48:18,#YoConJemez,
2017-04-06 20:48:18,#TheQueenMzansi,
2017-04-06 20:48:18,#BAFTAGames,
2017-04-06 20:48:18,#ThingsIWontApologizeFor,60673
2017-04-06 20:48:18,#RichHousePoorHouse,
2017-04-06 20:48:18,#RPSvMI,52038
2017-04-06 20:48:18,#ItalyIsReadyForHS1,
2017-04-06 20:48:18,#totp,
2017-04-06 20:48:18,#Rubi059,
2017-04-06 20:48:18,#DiaMundialDeLaActividadFisica,13494
2017-04-06 20:48:18,#ValenciaCelta,
2017-04-06 20:48:18,#MyFirstWordsHadToBe,
2017-04-06 20:48:18,#benimlekal,252515
2017-04-06 20:48:18,#WITW,
2017-04-06 20:48:18,#YoEnElAmor,
2017-04-06 20:48:18,#FillonStrasbourg,16795
2017-04-06 20:53:10,#LEmissionPolitique,97308
2017-04-06 20:53:10,Don Rickles,113864
2017-04-06 20:53:10,#Gala15GHVIP5,19792
2017-04-06 20:53:10,#Fast8EH,
2017-04-06 20:53:10,#VzlaTrancaContraElGolpe,154313
2017-04-06 20:53:10,Dustin Johnson,53693
2017-04-06 20:53:10,French Montana,94208
2017-04-06 20:53:10,#twepsv,
2017-04-06 20:53:10,#NuclearOption,96255
2017-04-06 20:53:10,#CelebrityMasterChefIt,
2017-04-06 20:53:10,#PuebloYFANBLealtadAbsoluta,67920
2017-04-06 20:53:10,#TPMPlesparis,
2017-04-06 20:53:10,#gntm,
2017-04-06 20:53:10,#survirorgr,
2017-04-06 20:53:10,#13RW,85331
2017-04-06 20:53:10,#Piazzapulita,
2017-04-06 20:53:10,#ottoemezzo,
